Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
84 W Union St Unit 5,,833-747-7629,"84 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/84-w-union-st-athens-oh-unit-5/q7qwv6z/
86 W Union St,,844-207-3486,"86 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/86-w-union-st-athens-oh/d9j5c1k/
40 N Court St Unit A,,844-218-9646,"40 N Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/40-n-court-st-athens-oh-unit-a/lm9vbzf/
9 Mill St Unit 2,,844-718-2653,"9 Mill St, Athens, OH 45701",False,2014,,https://www.apartments.com/9-mill-st-athens-oh-unit-2/w9g6hgj/
41 Mill St Unit C,,833-723-8448,"41 Mill St, Athens, OH 45701",False,2014,,https://www.apartments.com/41-mill-st-athens-oh-unit-c/hlzy7v2/
Campus Heights,Asset,740-249-1012,"115 Carriage Hill Dr, Athens, OH 45701",True,1967,367,https://www.apartments.com/campus-heights-athens-oh/rvwf530/
Phoenix on Court,Phoenix on Court,844-203-8636,"30 S Court St, Athens, OH 45701",False,,18,https://www.apartments.com/phoenix-on-court-athens-oh/pmk5q1v/
University Courtyard Athens,ROCO Real Estate,844-295-3426,"366 Richland Ave, Athens, OH 45701",False,2001,182,https://www.apartments.com/university-courtyard-athens-athens-oh/gs4333w/
Prokos Rentals,Prokos Rentals,888-769-6403,"9 W Stimson Ave, Athens, OH 45701",False,1960,187,https://www.apartments.com/prokos-rentals-athens-oh/trlx3vb/
Monticello Village,Willoughby- Monticello Village Apartments,740-552-4750,"6 Monticello Dr, Athens, OH 45701",False,1969,68,https://www.apartments.com/monticello-village-athens-oh/svpm0p7/
Mill Street Village,Mill Street Village,844-425-1164,"186 Mill St, Athens, OH 45701",True,1970,153,https://www.apartments.com/mill-street-village-athens-oh/kp32k78/
Spreading Oaks Village,"UMH Properties, Inc.",740-331-4918,"7140 Selby Rd, Athens, OH 45701",False,,121,https://www.apartments.com/spreading-oaks-village-athens-oh/wpz05mk/
152 Mill St. Luxury apartments near OU,Athens Brick Properties LLC / Gagliano Rentals,844-219-5587,"152 Mill St, Athens, OH 45701",True,2014,,https://www.apartments.com/152-mill-st-luxury-apartments-near-ou-athens-oh/nw5vw4p/
11 W Union St Unit 1/2,,844-204-8743,"11 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/11-w-union-st-athens-oh-unit-1-2/f15421t/
21 S Court St Unit 3,,740-308-3374,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-3/839qql3/
21 S Court St Unit # 4,,740-308-3377,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-4/fr5j4st/
21 S Court St Unit 8,,740-308-3417,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-8/es28x6m/
21 S Court St Unit 2,,740-308-3373,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-2/sc8wzs5/
21 S Court St Unit 1,,740-308-3372,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-1/dmnlhrj/
21 S Court St Unit 7,,740-308-3406,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-7/7lc2gjx/
21 S Court St Unit 5,,740-308-3392,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-5/bfxn2b8/
21 S Court St Unit 6,,740-308-3382,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-6/9cbdzn5/
14 S Court St Unit D,,740-308-3434,"14 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/14-s-court-st-athens-oh-unit-d/0wg77b0/
84 W Union St Unit 4,,844-203-2758,"84 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/84-w-union-st-athens-oh-unit-4/t4gnd09/
84 W Union St Unit 2,,833-686-3507,"84 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/84-w-union-st-athens-oh-unit-2/vpkhtvg/
84 W Union St Unit 5,,833-747-7629,"84 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/84-w-union-st-athens-oh-unit-5/q7qwv6z/
86 W Union St,,844-207-3486,"86 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/86-w-union-st-athens-oh/d9j5c1k/
40 N Court St Unit A,,844-218-9646,"40 N Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/40-n-court-st-athens-oh-unit-a/lm9vbzf/
9 Mill St Unit 2,,844-718-2653,"9 Mill St, Athens, OH 45701",False,2014,,https://www.apartments.com/9-mill-st-athens-oh-unit-2/w9g6hgj/
41 Mill St Unit C,,833-723-8448,"41 Mill St, Athens, OH 45701",False,2014,,https://www.apartments.com/41-mill-st-athens-oh-unit-c/hlzy7v2/
Campus Heights,Asset,740-249-1012,"115 Carriage Hill Dr, Athens, OH 45701",True,1967,367,https://www.apartments.com/campus-heights-athens-oh/rvwf530/
Phoenix on Court,Phoenix on Court,844-203-8636,"30 S Court St, Athens, OH 45701",False,,18,https://www.apartments.com/phoenix-on-court-athens-oh/pmk5q1v/
University Courtyard Athens,ROCO Real Estate,844-295-3426,"366 Richland Ave, Athens, OH 45701",False,2001,182,https://www.apartments.com/university-courtyard-athens-athens-oh/gs4333w/
Prokos Rentals,Prokos Rentals,888-769-6403,"9 W Stimson Ave, Athens, OH 45701",False,1960,187,https://www.apartments.com/prokos-rentals-athens-oh/trlx3vb/
Monticello Village,Willoughby- Monticello Village Apartments,740-552-4750,"6 Monticello Dr, Athens, OH 45701",False,1969,68,https://www.apartments.com/monticello-village-athens-oh/svpm0p7/
Mill Street Village,Mill Street Village,844-425-1164,"186 Mill St, Athens, OH 45701",True,1970,153,https://www.apartments.com/mill-street-village-athens-oh/kp32k78/
Spreading Oaks Village,"UMH Properties, Inc.",740-331-4918,"7140 Selby Rd, Athens, OH 45701",False,,121,https://www.apartments.com/spreading-oaks-village-athens-oh/wpz05mk/
152 Mill St. Luxury apartments near OU,Athens Brick Properties LLC / Gagliano Rentals,844-219-5587,"152 Mill St, Athens, OH 45701",True,2014,,https://www.apartments.com/152-mill-st-luxury-apartments-near-ou-athens-oh/nw5vw4p/
11 W Union St Unit 1/2,,844-204-8743,"11 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/11-w-union-st-athens-oh-unit-1-2/f15421t/
21 S Court St Unit 3,,740-308-3374,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-3/839qql3/
21 S Court St Unit # 4,,740-308-3377,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-4/fr5j4st/
21 S Court St Unit 8,,740-308-3417,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-8/es28x6m/
21 S Court St Unit 2,,740-308-3373,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-2/sc8wzs5/
21 S Court St Unit 1,,740-308-3372,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-1/dmnlhrj/
21 S Court St Unit 7,,740-308-3406,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-7/7lc2gjx/
21 S Court St Unit 5,,740-308-3392,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-5/bfxn2b8/
21 S Court St Unit 6,,740-308-3382,"21 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/21-s-court-st-athens-oh-unit-6/9cbdzn5/
14 S Court St Unit D,,740-308-3434,"14 S Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/14-s-court-st-athens-oh-unit-d/0wg77b0/
84 W Union St Unit 4,,844-203-2758,"84 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/84-w-union-st-athens-oh-unit-4/t4gnd09/
84 W Union St Unit 2,,833-686-3507,"84 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/84-w-union-st-athens-oh-unit-2/vpkhtvg/
84 W Union St Unit 5,,833-747-7629,"84 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/84-w-union-st-athens-oh-unit-5/q7qwv6z/
86 W Union St,,844-207-3486,"86 W Union St, Athens, OH 45701",False,2014,,https://www.apartments.com/86-w-union-st-athens-oh/d9j5c1k/
40 N Court St Unit A,,844-218-9646,"40 N Court St, Athens, OH 45701",False,2014,,https://www.apartments.com/40-n-court-st-athens-oh-unit-a/lm9vbzf/
9 Mill St Unit 2,,844-718-2653,"9 Mill St, Athens, OH 45701",False,2014,,https://www.apartments.com/9-mill-st-athens-oh-unit-2/w9g6hgj/
41 Mill St Unit C,,833-723-8448,"41 Mill St, Athens, OH 45701",False,2014,,https://www.apartments.com/41-mill-st-athens-oh-unit-c/hlzy7v2/
