Option Name,Developer,Contact,Address,Wi-Fi,Year Built,Units,URL
Ashton Brooke of Beavercreek,George J. Kontogiannis and Associates,844-494-4115,"3025 Fountain Dr, Dayton, OH 45431",True,2002,412,https://www.apartments.com/ashton-brooke-of-beavercreek-dayton-oh/kq91beb/
Ivy Manor Apartments,Ivy Manor Apartments,844-824-6476,"165 W Funderburg Rd, Fairborn, OH 45324",False,1964,156,https://www.apartments.com/ivy-manor-apartments-fairborn-oh/wwy0njl/
The Village at Stone Falls,Oberer Companies,937-528-2791,"3168 Clubhouse Dr, Dayton, OH 45431",True,1999,174,https://www.apartments.com/the-village-at-stone-falls-dayton-oh/g009xnx/
University Woods Apartments,University Woods Apartments,937-660-7601,"2208-2228 Chapel Dr, Fairborn, OH 45324",False,1986,126,https://www.apartments.com/university-woods-apartments-fairborn-oh/xetysdq/
Treeborn Apartments,Denizen Management,844-433-4017,"460 E Dayton Yellow Springs Rd, Fairborn, OH 45324",True,1978,105,https://www.apartments.com/treeborn-apartments-fairborn-oh/t8879dc/
Communities at Channingway,Anderson Resources,844-504-9078,"1302 Hemmingway Dr, Fairborn, OH 45324",True,2001,432,https://www.apartments.com/communities-at-channingway-fairborn-oh/zvwzmgx/
Timber Ridge Apartments,Premier Real Estate Management,937-410-4125,"2156 Harshman Rd, Dayton, OH 45424",False,1996,72,https://www.apartments.com/timber-ridge-apartments-dayton-oh/wkfqfsj/
Woodman Park,Monarch Investment and Management Group,844-234-3885,"4996 Woodman Park Dr, Dayton, OH 45432",False,1969,520,https://www.apartments.com/woodman-park-dayton-oh/v6qn2sd/
Enclave,Towne Properties,844-277-9933,"2743 Monterey Cir, Beavercreek, OH 45431",False,1989,208,https://www.apartments.com/enclave-beavercreek-oh/9hv8ls7/
Breckenridge Apartments,Monarch Investment and Management Group,844-858-3783,"239 Orville St, Fairborn, OH 45324",False,1968,208,https://www.apartments.com/breckenridge-apartments-fairborn-oh/5m97spq/
Arlington Village,Monarch Investment and Management Group,844-517-9416,"1733 Arlin Pl, Fairborn, OH 45324",False,1968,314,https://www.apartments.com/arlington-village-fairborn-oh/r2m9762/
Cimarron Woods Apartments,Merit Managment,937-490-6362,"1300 Cimarron Cir, Fairborn, OH 45324",True,1986,80,https://www.apartments.com/cimarron-woods-apartments-fairborn-oh/c768q7e/
Emerald Lakes,T & R Properties,937-458-3527,"2688 Diamond Cut Dr, Beavercreek, OH 45431",False,1999,282,https://www.apartments.com/emerald-lakes-beavercreek-oh/mh18e7k/
The Lofts at Willow Creek,Denizen Management,844-814-8578,"2621 Hibiscus Way, Beavercreek, OH 45431",True,2010,325,https://www.apartments.com/the-lofts-at-willow-creek-beavercreek-oh/v25ktnf/
The Promenade at Beavercreek,Flaherty & Collins Properties,937-310-7375,"4026 Promenade Blvd, Beavercreek, OH 45431",False,2008,238,https://www.apartments.com/the-promenade-at-beavercreek-beavercreek-oh/60nnrgv/
Avalon Place,5812 Investment Group,937-506-4574,"2196 Rockdell Dr, Fairborn, OH 45324",False,1966,592,https://www.apartments.com/avalon-place-fairborn-oh/xepyezm/
Wexford on the Green,Sentry Management,888-628-1003,"2555 Royal Lytham Dr, Fairborn, OH 45324",False,1999,256,https://www.apartments.com/wexford-on-the-green-fairborn-oh/q2hct9y/
Yorktown Colony Apartments,Oberer Companies,877-410-1997,"5010 Darby Rd, Dayton, OH 45431",False,1967,530,https://www.apartments.com/yorktown-colony-apartments-dayton-oh/7f8crnx/
The Village at Cloud Park,Sentry Management,866-723-0653,"3839 Cloud Park Dr, Dayton, OH 45424",False,2001,216,https://www.apartments.com/the-village-at-cloud-park-dayton-oh/h4jddr0/
The Province Dayton,"ILM Capital, LLC",937-949-5184,"3419 Cloveridge Ct, Fairborn, OH 45324",True,2009,200,https://www.apartments.com/the-province-dayton-fairborn-oh/767sgvx/
Meadow Run Apartments,"Blenheim Management Services, LLC",844-504-8017,"2294 Zink Rd, Fairborn, OH 45324",True,1978,240,https://www.apartments.com/meadow-run-apartments-fairborn-oh/nl58kdq/
The Highlands,Samaritan Companies,844-250-7491,"1514 Bromley Dr, Fairborn, OH 45324",False,1988,302,https://www.apartments.com/the-highlands-fairborn-oh/g1rlmtx/
Hometown Apartments / Laurel Springs,Simply Management,844-315-8040,"20 Old Yellow Springs Rd, Fairborn, OH 45324",False,1963,128,https://www.apartments.com/hometown-apartments-laurel-springs-fairborn-oh/qc1sb4x/
The Properties at Wright Field,Miller-Valentine Group,937-949-5973,"5924 Hickam Dr, Dayton, OH 45431",False,1950,1536,https://www.apartments.com/the-properties-at-wright-field-dayton-oh/vbbjjgg/
Peppertree Villas,Crawford Hoying,844-281-7359,"1450 Spicetree Cir, Fairborn, OH 45324",False,2000,168,https://www.apartments.com/peppertree-villas-fairborn-oh/hn9mcd1/
Ashton Brooke of Beavercreek,George J. Kontogiannis and Associates,844-494-4115,"3025 Fountain Dr, Dayton, OH 45431",True,2002,412,https://www.apartments.com/ashton-brooke-of-beavercreek-dayton-oh/kq91beb/
Ivy Manor Apartments,Ivy Manor Apartments,844-824-6476,"165 W Funderburg Rd, Fairborn, OH 45324",False,1964,156,https://www.apartments.com/ivy-manor-apartments-fairborn-oh/wwy0njl/
The Village at Stone Falls,Oberer Companies,937-528-2791,"3168 Clubhouse Dr, Dayton, OH 45431",True,1999,174,https://www.apartments.com/the-village-at-stone-falls-dayton-oh/g009xnx/
University Woods Apartments,University Woods Apartments,937-660-7601,"2208-2228 Chapel Dr, Fairborn, OH 45324",False,1986,126,https://www.apartments.com/university-woods-apartments-fairborn-oh/xetysdq/
Treeborn Apartments,Denizen Management,844-433-4017,"460 E Dayton Yellow Springs Rd, Fairborn, OH 45324",True,1978,105,https://www.apartments.com/treeborn-apartments-fairborn-oh/t8879dc/
Communities at Channingway,Anderson Resources,844-504-9078,"1302 Hemmingway Dr, Fairborn, OH 45324",True,2001,432,https://www.apartments.com/communities-at-channingway-fairborn-oh/zvwzmgx/
Timber Ridge Apartments,Premier Real Estate Management,937-410-4125,"2156 Harshman Rd, Dayton, OH 45424",False,1996,72,https://www.apartments.com/timber-ridge-apartments-dayton-oh/wkfqfsj/
Woodman Park,Monarch Investment and Management Group,844-234-3885,"4996 Woodman Park Dr, Dayton, OH 45432",False,1969,520,https://www.apartments.com/woodman-park-dayton-oh/v6qn2sd/
Enclave,Towne Properties,844-277-9933,"2743 Monterey Cir, Beavercreek, OH 45431",False,1989,208,https://www.apartments.com/enclave-beavercreek-oh/9hv8ls7/
Breckenridge Apartments,Monarch Investment and Management Group,844-858-3783,"239 Orville St, Fairborn, OH 45324",False,1968,208,https://www.apartments.com/breckenridge-apartments-fairborn-oh/5m97spq/
Arlington Village,Monarch Investment and Management Group,844-517-9416,"1733 Arlin Pl, Fairborn, OH 45324",False,1968,314,https://www.apartments.com/arlington-village-fairborn-oh/r2m9762/
Cimarron Woods Apartments,Merit Managment,937-490-6362,"1300 Cimarron Cir, Fairborn, OH 45324",True,1986,80,https://www.apartments.com/cimarron-woods-apartments-fairborn-oh/c768q7e/
Emerald Lakes,T & R Properties,937-458-3527,"2688 Diamond Cut Dr, Beavercreek, OH 45431",False,1999,282,https://www.apartments.com/emerald-lakes-beavercreek-oh/mh18e7k/
The Lofts at Willow Creek,Denizen Management,844-814-8578,"2621 Hibiscus Way, Beavercreek, OH 45431",True,2010,325,https://www.apartments.com/the-lofts-at-willow-creek-beavercreek-oh/v25ktnf/
The Promenade at Beavercreek,Flaherty & Collins Properties,937-310-7375,"4026 Promenade Blvd, Beavercreek, OH 45431",False,2008,238,https://www.apartments.com/the-promenade-at-beavercreek-beavercreek-oh/60nnrgv/
Avalon Place,5812 Investment Group,937-506-4574,"2196 Rockdell Dr, Fairborn, OH 45324",False,1966,592,https://www.apartments.com/avalon-place-fairborn-oh/xepyezm/
Wexford on the Green,Sentry Management,888-628-1003,"2555 Royal Lytham Dr, Fairborn, OH 45324",False,1999,256,https://www.apartments.com/wexford-on-the-green-fairborn-oh/q2hct9y/
Yorktown Colony Apartments,Oberer Companies,877-410-1997,"5010 Darby Rd, Dayton, OH 45431",False,1967,530,https://www.apartments.com/yorktown-colony-apartments-dayton-oh/7f8crnx/
The Village at Cloud Park,Sentry Management,866-723-0653,"3839 Cloud Park Dr, Dayton, OH 45424",False,2001,216,https://www.apartments.com/the-village-at-cloud-park-dayton-oh/h4jddr0/
The Province Dayton,"ILM Capital, LLC",937-949-5184,"3419 Cloveridge Ct, Fairborn, OH 45324",True,2009,200,https://www.apartments.com/the-province-dayton-fairborn-oh/767sgvx/
Meadow Run Apartments,"Blenheim Management Services, LLC",844-504-8017,"2294 Zink Rd, Fairborn, OH 45324",True,1978,240,https://www.apartments.com/meadow-run-apartments-fairborn-oh/nl58kdq/
The Highlands,Samaritan Companies,844-250-7491,"1514 Bromley Dr, Fairborn, OH 45324",False,1988,302,https://www.apartments.com/the-highlands-fairborn-oh/g1rlmtx/
Hometown Apartments / Laurel Springs,Simply Management,844-315-8040,"20 Old Yellow Springs Rd, Fairborn, OH 45324",False,1963,128,https://www.apartments.com/hometown-apartments-laurel-springs-fairborn-oh/qc1sb4x/
The Properties at Wright Field,Miller-Valentine Group,937-949-5973,"5924 Hickam Dr, Dayton, OH 45431",False,1950,1536,https://www.apartments.com/the-properties-at-wright-field-dayton-oh/vbbjjgg/
Peppertree Villas,Crawford Hoying,844-281-7359,"1450 Spicetree Cir, Fairborn, OH 45324",False,2000,168,https://www.apartments.com/peppertree-villas-fairborn-oh/hn9mcd1/
Ashton Brooke of Beavercreek,George J. Kontogiannis and Associates,844-494-4115,"3025 Fountain Dr, Dayton, OH 45431",True,2002,412,https://www.apartments.com/ashton-brooke-of-beavercreek-dayton-oh/kq91beb/
Ivy Manor Apartments,Ivy Manor Apartments,844-824-6476,"165 W Funderburg Rd, Fairborn, OH 45324",False,1964,156,https://www.apartments.com/ivy-manor-apartments-fairborn-oh/wwy0njl/
The Village at Stone Falls,Oberer Companies,937-528-2791,"3168 Clubhouse Dr, Dayton, OH 45431",True,1999,174,https://www.apartments.com/the-village-at-stone-falls-dayton-oh/g009xnx/
University Woods Apartments,University Woods Apartments,937-660-7601,"2208-2228 Chapel Dr, Fairborn, OH 45324",False,1986,126,https://www.apartments.com/university-woods-apartments-fairborn-oh/xetysdq/
Treeborn Apartments,Denizen Management,844-433-4017,"460 E Dayton Yellow Springs Rd, Fairborn, OH 45324",True,1978,105,https://www.apartments.com/treeborn-apartments-fairborn-oh/t8879dc/
Communities at Channingway,Anderson Resources,844-504-9078,"1302 Hemmingway Dr, Fairborn, OH 45324",True,2001,432,https://www.apartments.com/communities-at-channingway-fairborn-oh/zvwzmgx/
Timber Ridge Apartments,Premier Real Estate Management,937-410-4125,"2156 Harshman Rd, Dayton, OH 45424",False,1996,72,https://www.apartments.com/timber-ridge-apartments-dayton-oh/wkfqfsj/
Woodman Park,Monarch Investment and Management Group,844-234-3885,"4996 Woodman Park Dr, Dayton, OH 45432",False,1969,520,https://www.apartments.com/woodman-park-dayton-oh/v6qn2sd/
Enclave,Towne Properties,844-277-9933,"2743 Monterey Cir, Beavercreek, OH 45431",False,1989,208,https://www.apartments.com/enclave-beavercreek-oh/9hv8ls7/
Breckenridge Apartments,Monarch Investment and Management Group,844-858-3783,"239 Orville St, Fairborn, OH 45324",False,1968,208,https://www.apartments.com/breckenridge-apartments-fairborn-oh/5m97spq/
Arlington Village,Monarch Investment and Management Group,844-517-9416,"1733 Arlin Pl, Fairborn, OH 45324",False,1968,314,https://www.apartments.com/arlington-village-fairborn-oh/r2m9762/
Cimarron Woods Apartments,Merit Managment,937-490-6362,"1300 Cimarron Cir, Fairborn, OH 45324",True,1986,80,https://www.apartments.com/cimarron-woods-apartments-fairborn-oh/c768q7e/
Emerald Lakes,T & R Properties,937-458-3527,"2688 Diamond Cut Dr, Beavercreek, OH 45431",False,1999,282,https://www.apartments.com/emerald-lakes-beavercreek-oh/mh18e7k/
The Lofts at Willow Creek,Denizen Management,844-814-8578,"2621 Hibiscus Way, Beavercreek, OH 45431",True,2010,325,https://www.apartments.com/the-lofts-at-willow-creek-beavercreek-oh/v25ktnf/
The Promenade at Beavercreek,Flaherty & Collins Properties,937-310-7375,"4026 Promenade Blvd, Beavercreek, OH 45431",False,2008,238,https://www.apartments.com/the-promenade-at-beavercreek-beavercreek-oh/60nnrgv/
Avalon Place,5812 Investment Group,937-506-4574,"2196 Rockdell Dr, Fairborn, OH 45324",False,1966,592,https://www.apartments.com/avalon-place-fairborn-oh/xepyezm/
Wexford on the Green,Sentry Management,888-628-1003,"2555 Royal Lytham Dr, Fairborn, OH 45324",False,1999,256,https://www.apartments.com/wexford-on-the-green-fairborn-oh/q2hct9y/
Yorktown Colony Apartments,Oberer Companies,877-410-1997,"5010 Darby Rd, Dayton, OH 45431",False,1967,530,https://www.apartments.com/yorktown-colony-apartments-dayton-oh/7f8crnx/
The Village at Cloud Park,Sentry Management,866-723-0653,"3839 Cloud Park Dr, Dayton, OH 45424",False,2001,216,https://www.apartments.com/the-village-at-cloud-park-dayton-oh/h4jddr0/
The Province Dayton,"ILM Capital, LLC",937-949-5184,"3419 Cloveridge Ct, Fairborn, OH 45324",True,2009,200,https://www.apartments.com/the-province-dayton-fairborn-oh/767sgvx/
Meadow Run Apartments,"Blenheim Management Services, LLC",844-504-8017,"2294 Zink Rd, Fairborn, OH 45324",True,1978,240,https://www.apartments.com/meadow-run-apartments-fairborn-oh/nl58kdq/
The Highlands,Samaritan Companies,844-250-7491,"1514 Bromley Dr, Fairborn, OH 45324",False,1988,302,https://www.apartments.com/the-highlands-fairborn-oh/g1rlmtx/
Hometown Apartments / Laurel Springs,Simply Management,844-315-8040,"20 Old Yellow Springs Rd, Fairborn, OH 45324",False,1963,128,https://www.apartments.com/hometown-apartments-laurel-springs-fairborn-oh/qc1sb4x/
The Properties at Wright Field,Miller-Valentine Group,937-949-5973,"5924 Hickam Dr, Dayton, OH 45431",False,1950,1536,https://www.apartments.com/the-properties-at-wright-field-dayton-oh/vbbjjgg/
Peppertree Villas,Crawford Hoying,844-281-7359,"1450 Spicetree Cir, Fairborn, OH 45324",False,2000,168,https://www.apartments.com/peppertree-villas-fairborn-oh/hn9mcd1/
Ashton Brooke of Beavercreek,George J. Kontogiannis and Associates,844-494-4115,"3025 Fountain Dr, Dayton, OH 45431",True,2002,412,https://www.apartments.com/ashton-brooke-of-beavercreek-dayton-oh/kq91beb/
Ivy Manor Apartments,Ivy Manor Apartments,844-824-6476,"165 W Funderburg Rd, Fairborn, OH 45324",False,1964,156,https://www.apartments.com/ivy-manor-apartments-fairborn-oh/wwy0njl/
The Village at Stone Falls,Oberer Companies,937-528-2791,"3168 Clubhouse Dr, Dayton, OH 45431",True,1999,174,https://www.apartments.com/the-village-at-stone-falls-dayton-oh/g009xnx/
University Woods Apartments,University Woods Apartments,937-660-7601,"2208-2228 Chapel Dr, Fairborn, OH 45324",False,1986,126,https://www.apartments.com/university-woods-apartments-fairborn-oh/xetysdq/
Treeborn Apartments,Denizen Management,844-433-4017,"460 E Dayton Yellow Springs Rd, Fairborn, OH 45324",True,1978,105,https://www.apartments.com/treeborn-apartments-fairborn-oh/t8879dc/
Communities at Channingway,Anderson Resources,844-504-9078,"1302 Hemmingway Dr, Fairborn, OH 45324",True,2001,432,https://www.apartments.com/communities-at-channingway-fairborn-oh/zvwzmgx/
Timber Ridge Apartments,Premier Real Estate Management,937-410-4125,"2156 Harshman Rd, Dayton, OH 45424",False,1996,72,https://www.apartments.com/timber-ridge-apartments-dayton-oh/wkfqfsj/
Woodman Park,Monarch Investment and Management Group,844-234-3885,"4996 Woodman Park Dr, Dayton, OH 45432",False,1969,520,https://www.apartments.com/woodman-park-dayton-oh/v6qn2sd/
Enclave,Towne Properties,844-277-9933,"2743 Monterey Cir, Beavercreek, OH 45431",False,1989,208,https://www.apartments.com/enclave-beavercreek-oh/9hv8ls7/
Breckenridge Apartments,Monarch Investment and Management Group,844-858-3783,"239 Orville St, Fairborn, OH 45324",False,1968,208,https://www.apartments.com/breckenridge-apartments-fairborn-oh/5m97spq/
Arlington Village,Monarch Investment and Management Group,844-517-9416,"1733 Arlin Pl, Fairborn, OH 45324",False,1968,314,https://www.apartments.com/arlington-village-fairborn-oh/r2m9762/
Cimarron Woods Apartments,Merit Managment,937-490-6362,"1300 Cimarron Cir, Fairborn, OH 45324",True,1986,80,https://www.apartments.com/cimarron-woods-apartments-fairborn-oh/c768q7e/
Emerald Lakes,T & R Properties,937-458-3527,"2688 Diamond Cut Dr, Beavercreek, OH 45431",False,1999,282,https://www.apartments.com/emerald-lakes-beavercreek-oh/mh18e7k/
The Lofts at Willow Creek,Denizen Management,844-814-8578,"2621 Hibiscus Way, Beavercreek, OH 45431",True,2010,325,https://www.apartments.com/the-lofts-at-willow-creek-beavercreek-oh/v25ktnf/
The Promenade at Beavercreek,Flaherty & Collins Properties,937-310-7375,"4026 Promenade Blvd, Beavercreek, OH 45431",False,2008,238,https://www.apartments.com/the-promenade-at-beavercreek-beavercreek-oh/60nnrgv/
Avalon Place,5812 Investment Group,937-506-4574,"2196 Rockdell Dr, Fairborn, OH 45324",False,1966,592,https://www.apartments.com/avalon-place-fairborn-oh/xepyezm/
Wexford on the Green,Sentry Management,888-628-1003,"2555 Royal Lytham Dr, Fairborn, OH 45324",False,1999,256,https://www.apartments.com/wexford-on-the-green-fairborn-oh/q2hct9y/
Yorktown Colony Apartments,Oberer Companies,877-410-1997,"5010 Darby Rd, Dayton, OH 45431",False,1967,530,https://www.apartments.com/yorktown-colony-apartments-dayton-oh/7f8crnx/
The Village at Cloud Park,Sentry Management,866-723-0653,"3839 Cloud Park Dr, Dayton, OH 45424",False,2001,216,https://www.apartments.com/the-village-at-cloud-park-dayton-oh/h4jddr0/
The Province Dayton,"ILM Capital, LLC",937-949-5184,"3419 Cloveridge Ct, Fairborn, OH 45324",True,2009,200,https://www.apartments.com/the-province-dayton-fairborn-oh/767sgvx/
Meadow Run Apartments,"Blenheim Management Services, LLC",844-504-8017,"2294 Zink Rd, Fairborn, OH 45324",True,1978,240,https://www.apartments.com/meadow-run-apartments-fairborn-oh/nl58kdq/
The Highlands,Samaritan Companies,844-250-7491,"1514 Bromley Dr, Fairborn, OH 45324",False,1988,302,https://www.apartments.com/the-highlands-fairborn-oh/g1rlmtx/
Hometown Apartments / Laurel Springs,Simply Management,844-315-8040,"20 Old Yellow Springs Rd, Fairborn, OH 45324",False,1963,128,https://www.apartments.com/hometown-apartments-laurel-springs-fairborn-oh/qc1sb4x/
The Properties at Wright Field,Miller-Valentine Group,937-949-5973,"5924 Hickam Dr, Dayton, OH 45431",False,1950,1536,https://www.apartments.com/the-properties-at-wright-field-dayton-oh/vbbjjgg/
Peppertree Villas,Crawford Hoying,844-281-7359,"1450 Spicetree Cir, Fairborn, OH 45324",False,2000,168,https://www.apartments.com/peppertree-villas-fairborn-oh/hn9mcd1/
Ashton Brooke of Beavercreek,George J. Kontogiannis and Associates,844-494-4115,"3025 Fountain Dr, Dayton, OH 45431",True,2002,412,https://www.apartments.com/ashton-brooke-of-beavercreek-dayton-oh/kq91beb/
Ivy Manor Apartments,Ivy Manor Apartments,844-824-6476,"165 W Funderburg Rd, Fairborn, OH 45324",False,1964,156,https://www.apartments.com/ivy-manor-apartments-fairborn-oh/wwy0njl/
The Village at Stone Falls,Oberer Companies,937-528-2791,"3168 Clubhouse Dr, Dayton, OH 45431",True,1999,174,https://www.apartments.com/the-village-at-stone-falls-dayton-oh/g009xnx/
University Woods Apartments,University Woods Apartments,937-660-7601,"2208-2228 Chapel Dr, Fairborn, OH 45324",False,1986,126,https://www.apartments.com/university-woods-apartments-fairborn-oh/xetysdq/
Treeborn Apartments,Denizen Management,844-433-4017,"460 E Dayton Yellow Springs Rd, Fairborn, OH 45324",True,1978,105,https://www.apartments.com/treeborn-apartments-fairborn-oh/t8879dc/
Communities at Channingway,Anderson Resources,844-504-9078,"1302 Hemmingway Dr, Fairborn, OH 45324",True,2001,432,https://www.apartments.com/communities-at-channingway-fairborn-oh/zvwzmgx/
Timber Ridge Apartments,Premier Real Estate Management,937-410-4125,"2156 Harshman Rd, Dayton, OH 45424",False,1996,72,https://www.apartments.com/timber-ridge-apartments-dayton-oh/wkfqfsj/
Woodman Park,Monarch Investment and Management Group,844-234-3885,"4996 Woodman Park Dr, Dayton, OH 45432",False,1969,520,https://www.apartments.com/woodman-park-dayton-oh/v6qn2sd/
Enclave,Towne Properties,844-277-9933,"2743 Monterey Cir, Beavercreek, OH 45431",False,1989,208,https://www.apartments.com/enclave-beavercreek-oh/9hv8ls7/
Breckenridge Apartments,Monarch Investment and Management Group,844-858-3783,"239 Orville St, Fairborn, OH 45324",False,1968,208,https://www.apartments.com/breckenridge-apartments-fairborn-oh/5m97spq/
Arlington Village,Monarch Investment and Management Group,844-517-9416,"1733 Arlin Pl, Fairborn, OH 45324",False,1968,314,https://www.apartments.com/arlington-village-fairborn-oh/r2m9762/
Cimarron Woods Apartments,Merit Managment,937-490-6362,"1300 Cimarron Cir, Fairborn, OH 45324",True,1986,80,https://www.apartments.com/cimarron-woods-apartments-fairborn-oh/c768q7e/
Emerald Lakes,T & R Properties,937-458-3527,"2688 Diamond Cut Dr, Beavercreek, OH 45431",False,1999,282,https://www.apartments.com/emerald-lakes-beavercreek-oh/mh18e7k/
The Lofts at Willow Creek,Denizen Management,844-814-8578,"2621 Hibiscus Way, Beavercreek, OH 45431",True,2010,325,https://www.apartments.com/the-lofts-at-willow-creek-beavercreek-oh/v25ktnf/
The Promenade at Beavercreek,Flaherty & Collins Properties,937-310-7375,"4026 Promenade Blvd, Beavercreek, OH 45431",False,2008,238,https://www.apartments.com/the-promenade-at-beavercreek-beavercreek-oh/60nnrgv/
Avalon Place,5812 Investment Group,937-506-4574,"2196 Rockdell Dr, Fairborn, OH 45324",False,1966,592,https://www.apartments.com/avalon-place-fairborn-oh/xepyezm/
Wexford on the Green,Sentry Management,888-628-1003,"2555 Royal Lytham Dr, Fairborn, OH 45324",False,1999,256,https://www.apartments.com/wexford-on-the-green-fairborn-oh/q2hct9y/
Yorktown Colony Apartments,Oberer Companies,877-410-1997,"5010 Darby Rd, Dayton, OH 45431",False,1967,530,https://www.apartments.com/yorktown-colony-apartments-dayton-oh/7f8crnx/
The Village at Cloud Park,Sentry Management,866-723-0653,"3839 Cloud Park Dr, Dayton, OH 45424",False,2001,216,https://www.apartments.com/the-village-at-cloud-park-dayton-oh/h4jddr0/
The Province Dayton,"ILM Capital, LLC",937-949-5184,"3419 Cloveridge Ct, Fairborn, OH 45324",True,2009,200,https://www.apartments.com/the-province-dayton-fairborn-oh/767sgvx/
Meadow Run Apartments,"Blenheim Management Services, LLC",844-504-8017,"2294 Zink Rd, Fairborn, OH 45324",True,1978,240,https://www.apartments.com/meadow-run-apartments-fairborn-oh/nl58kdq/
The Highlands,Samaritan Companies,844-250-7491,"1514 Bromley Dr, Fairborn, OH 45324",False,1988,302,https://www.apartments.com/the-highlands-fairborn-oh/g1rlmtx/
Hometown Apartments / Laurel Springs,Simply Management,844-315-8040,"20 Old Yellow Springs Rd, Fairborn, OH 45324",False,1963,128,https://www.apartments.com/hometown-apartments-laurel-springs-fairborn-oh/qc1sb4x/
The Properties at Wright Field,Miller-Valentine Group,937-949-5973,"5924 Hickam Dr, Dayton, OH 45431",False,1950,1536,https://www.apartments.com/the-properties-at-wright-field-dayton-oh/vbbjjgg/
Peppertree Villas,Crawford Hoying,844-281-7359,"1450 Spicetree Cir, Fairborn, OH 45324",False,2000,168,https://www.apartments.com/peppertree-villas-fairborn-oh/hn9mcd1/
Ashton Brooke of Beavercreek,George J. Kontogiannis and Associates,844-494-4115,"3025 Fountain Dr, Dayton, OH 45431",True,2002,412,https://www.apartments.com/ashton-brooke-of-beavercreek-dayton-oh/kq91beb/
Ivy Manor Apartments,Ivy Manor Apartments,844-824-6476,"165 W Funderburg Rd, Fairborn, OH 45324",False,1964,156,https://www.apartments.com/ivy-manor-apartments-fairborn-oh/wwy0njl/
The Village at Stone Falls,Oberer Companies,937-528-2791,"3168 Clubhouse Dr, Dayton, OH 45431",True,1999,174,https://www.apartments.com/the-village-at-stone-falls-dayton-oh/g009xnx/
University Woods Apartments,University Woods Apartments,937-660-7601,"2208-2228 Chapel Dr, Fairborn, OH 45324",False,1986,126,https://www.apartments.com/university-woods-apartments-fairborn-oh/xetysdq/
Treeborn Apartments,Denizen Management,844-433-4017,"460 E Dayton Yellow Springs Rd, Fairborn, OH 45324",True,1978,105,https://www.apartments.com/treeborn-apartments-fairborn-oh/t8879dc/
Communities at Channingway,Anderson Resources,844-504-9078,"1302 Hemmingway Dr, Fairborn, OH 45324",True,2001,432,https://www.apartments.com/communities-at-channingway-fairborn-oh/zvwzmgx/
Timber Ridge Apartments,Premier Real Estate Management,937-410-4125,"2156 Harshman Rd, Dayton, OH 45424",False,1996,72,https://www.apartments.com/timber-ridge-apartments-dayton-oh/wkfqfsj/
Woodman Park,Monarch Investment and Management Group,844-234-3885,"4996 Woodman Park Dr, Dayton, OH 45432",False,1969,520,https://www.apartments.com/woodman-park-dayton-oh/v6qn2sd/
Enclave,Towne Properties,844-277-9933,"2743 Monterey Cir, Beavercreek, OH 45431",False,1989,208,https://www.apartments.com/enclave-beavercreek-oh/9hv8ls7/
Breckenridge Apartments,Monarch Investment and Management Group,844-858-3783,"239 Orville St, Fairborn, OH 45324",False,1968,208,https://www.apartments.com/breckenridge-apartments-fairborn-oh/5m97spq/
Arlington Village,Monarch Investment and Management Group,844-517-9416,"1733 Arlin Pl, Fairborn, OH 45324",False,1968,314,https://www.apartments.com/arlington-village-fairborn-oh/r2m9762/
Cimarron Woods Apartments,Merit Managment,937-490-6362,"1300 Cimarron Cir, Fairborn, OH 45324",True,1986,80,https://www.apartments.com/cimarron-woods-apartments-fairborn-oh/c768q7e/
Emerald Lakes,T & R Properties,937-458-3527,"2688 Diamond Cut Dr, Beavercreek, OH 45431",False,1999,282,https://www.apartments.com/emerald-lakes-beavercreek-oh/mh18e7k/
The Lofts at Willow Creek,Denizen Management,844-814-8578,"2621 Hibiscus Way, Beavercreek, OH 45431",True,2010,325,https://www.apartments.com/the-lofts-at-willow-creek-beavercreek-oh/v25ktnf/
The Promenade at Beavercreek,Flaherty & Collins Properties,937-310-7375,"4026 Promenade Blvd, Beavercreek, OH 45431",False,2008,238,https://www.apartments.com/the-promenade-at-beavercreek-beavercreek-oh/60nnrgv/
Avalon Place,5812 Investment Group,937-506-4574,"2196 Rockdell Dr, Fairborn, OH 45324",False,1966,592,https://www.apartments.com/avalon-place-fairborn-oh/xepyezm/
Wexford on the Green,Sentry Management,888-628-1003,"2555 Royal Lytham Dr, Fairborn, OH 45324",False,1999,256,https://www.apartments.com/wexford-on-the-green-fairborn-oh/q2hct9y/
Yorktown Colony Apartments,Oberer Companies,877-410-1997,"5010 Darby Rd, Dayton, OH 45431",False,1967,530,https://www.apartments.com/yorktown-colony-apartments-dayton-oh/7f8crnx/
The Village at Cloud Park,Sentry Management,866-723-0653,"3839 Cloud Park Dr, Dayton, OH 45424",False,2001,216,https://www.apartments.com/the-village-at-cloud-park-dayton-oh/h4jddr0/
The Province Dayton,"ILM Capital, LLC",937-949-5184,"3419 Cloveridge Ct, Fairborn, OH 45324",True,2009,200,https://www.apartments.com/the-province-dayton-fairborn-oh/767sgvx/
Meadow Run Apartments,"Blenheim Management Services, LLC",844-504-8017,"2294 Zink Rd, Fairborn, OH 45324",True,1978,240,https://www.apartments.com/meadow-run-apartments-fairborn-oh/nl58kdq/
The Highlands,Samaritan Companies,844-250-7491,"1514 Bromley Dr, Fairborn, OH 45324",False,1988,302,https://www.apartments.com/the-highlands-fairborn-oh/g1rlmtx/
